Search Value,Linear Search(0),Binary Search (1) ,Fibbonaci Search (2),Notes
1,2224 kb,2228 kb,2260 kb,
4,2204 KB,2248 kb,2296 kb,
22,2204 kb,2204 kb,2264 kb,
37,2240 kb,2256 kb,2296 kb,
22906,2252 kb,2300 kb,2248 kb,
53757,2220 kb,2248 kb,2244 kb,
112591,2260 kb,2216 kb,2244 kb,
361940,2228 kb,2260 kb,2256 kb,
475713,2124 kb,2228 kb,2252 kb,
893766,2252 kb,2224 kb, 2296 kb,
996637,2196 kb,2216 kb,2216 kb,
996639,2212kb,2196 kb,2308 kb,
996652,2208 kb,2248 kb,2256 kb,
-996652,2244 kb,2204 kb,2196 kb,
