Search Value,Linear Search(0),Binary Search (1) ,Fibbonaci Search (2),Notes
1,0m0.003s,0m0.003s,0m0.003s,Same
4,0m0.004s,0m0.004s,0m0.005s,"0,1"
22,0m0.004s,0m0.003s,0m0.004s,1
37,0m0.004s,0m0.004s,0m0.004s,Same
22906,0m0.003s,0m0.003s,0m0.004s,"0,1"
53757,0m0.004s,0m0.003s,0m0.003s,"1,2"
112591,0m0.003s,0m0.004s,0m0.003s,"0,2"
361940,0m0.003s,0m0.003s,0m0.004s,"0,1"
475713,0m0.003s,0m0.004s,0m0.010s,1
893766,0m0.004s,0m0.003s,0m0.003s,"1,2"
996637,0m0.004s,0m0.003s,0m0.004s,1
996639,0m0.004s,0m0.003s,0m0.004s,1
996652,0m0.004s,0m0.003s,0m0.003s,"1,2"
-996652,0m0.004s,0m0.003s,0m0.007s,1
